url,popularity_score,metascore,oscars,rank_2024,title,year,run_time,IMBD_rating_2024
https://www.imdb.com/title/tt0093058/?ref_=chttp_t_135,358.0,78.0,,109,Full Metal Jacket,1987,1h 56m,8.2
https://www.imdb.com/title/tt8579674/?ref_=chttp_t_136,398.0,78.0,3.0,122,1917,2019,1h 59m,8.2
https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137,401.0,90.0,,134,The Truman Show,1998,1h 43m,8.2
https://www.imdb.com/title/tt0075314/?ref_=chttp_t_138,402.0,94.0,,126,Taxi Driver,1976,1h 54m,8.2
https://www.imdb.com/title/tt0167404/?ref_=chttp_t_139,419.0,64.0,,144,The Sixth Sense,1999,1h 47m,8.2
https://www.imdb.com/title/tt6966692/?ref_=chttp_t_140,437.0,69.0,3.0,132,Green Book,2018,2h 10m,8.2
https://www.imdb.com/title/tt0066921/?ref_=chttp_t_141,532.0,77.0,,113,A Clockwork Orange,1971,2h 16m,8.2
https://www.imdb.com/title/tt0208092/?ref_=chttp_t_142,568.0,55.0,,121,Snatch,2000,1h 42m,8.2
https://www.imdb.com/title/tt0469494/?ref_=chttp_t_143,586.0,93.0,2.0,140,There Will Be Blood,2007,2h 38m,8.2
https://www.imdb.com/title/tt0266697/?ref_=chttp_t_144,611.0,69.0,,151,Kill Bill: Vol. 1,2003,1h 51m,8.2
https://www.imdb.com/title/tt0457430/?ref_=chttp_t_145,632.0,98.0,3.0,146,Pan's Labyrinth,2006,1h 58m,8.2
https://www.imdb.com/title/tt0112641/?ref_=chttp_t_146,673.0,73.0,,142,Casino,1995,2h 58m,8.2
https://www.imdb.com/title/tt0268978/?ref_=chttp_t_147,685.0,72.0,4.0,150,A Beautiful Mind,2001,2h 15m,8.2
https://www.imdb.com/title/tt0347149/?ref_=chttp_t_148,774.0,82.0,,159,Howl's Moving Castle,2004,1h 59m,8.2
https://www.imdb.com/title/tt0057115/?ref_=chttp_t_149,801.0,86.0,,156,The Great Escape,1963,2h 52m,8.2
https://www.imdb.com/title/tt0266543/?ref_=chttp_t_150,805.0,90.0,1.0,157,Finding Nemo,2003,1h 40m,8.2
https://www.imdb.com/title/tt4729430/?ref_=chttp_t_151,827.0,65.0,,171,Klaus,2019,1h 36m,8.2
https://www.imdb.com/title/tt0119488/?ref_=chttp_t_152,1050.0,91.0,2.0,123,L.A. Confidential,1997,2h 18m,8.2
https://www.imdb.com/title/tt0097576/?ref_=chttp_t_153,1085.0,65.0,1.0,118,Indiana Jones and the Last Crusade,1989,2h 7m,8.2
https://www.imdb.com/title/tt0363163/?ref_=chttp_t_154,1132.0,82.0,,125,Downfall,2004,2h 36m,8.2
https://www.imdb.com/title/tt0031381/?ref_=chttp_t_155,1343.0,97.0,8.0,163,Gone with the Wind,1939,3h 58m,8.2
https://www.imdb.com/title/tt1305806/?ref_=chttp_t_156,1498.0,80.0,1.0,165,The Secret in Their Eyes,2009,2h 9m,8.2
https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157,1515.0,91.0,,158,Monty Python and the Holy Grail,1975,1h 31m,8.2
https://www.imdb.com/title/tt10272386/?ref_=chttp_t_158,1528.0,88.0,2.0,137,The Father,2020,1h 37m,8.2
https://www.imdb.com/title/tt0053291/?ref_=chttp_t_159,1750.0,98.0,1.0,133,Some Like It Hot,1959,2h 1m,8.2
https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,2200.0,78.0,,160,The Elephant Man,1980,2h 4m,8.2
https://www.imdb.com/title/tt0059578/?ref_=chttp_t_161,2404.0,74.0,,131,For a Few Dollars More,1965,2h 12m,8.2
https://www.imdb.com/title/tt0042192/?ref_=chttp_t_162,2478.0,98.0,6.0,139,All About Eve,1950,2h 18m,8.2
https://www.imdb.com/title/tt0089881/?ref_=chttp_t_163,3044.0,97.0,1.0,145,Ran,1985,2h 40m,8.2
