url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt29623480/?ref_=chttp_t_83,14,85,
https://www.imdb.com/title/tt15398776/?ref_=chttp_t_84,76,90,7
https://www.imdb.com/title/tt0119217/?ref_=chttp_t_85,151,71,2
https://www.imdb.com/title/tt0338013/?ref_=chttp_t_86,179,89,1
https://www.imdb.com/title/tt0180093/?ref_=chttp_t_87,215,71,
https://www.imdb.com/title/tt0169547/?ref_=chttp_t_88,236,84,5
https://www.imdb.com/title/tt0113277/?ref_=chttp_t_89,328,76,
https://www.imdb.com/title/tt0086250/?ref_=chttp_t_90,335,65,
https://www.imdb.com/title/tt0364569/?ref_=chttp_t_91,346,78,
https://www.imdb.com/title/tt0112573/?ref_=chttp_t_92,351,68,5
https://www.imdb.com/title/tt0091251/?ref_=chttp_t_93,475,,
https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94,515,84,1
https://www.imdb.com/title/tt0087843/?ref_=chttp_t_95,557,75,2
https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96,572,77,
https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97,684,80,
https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98,702,81,
https://www.imdb.com/title/tt8503618/?ref_=chttp_t_99,729,88,2
https://www.imdb.com/title/tt0114709/?ref_=chttp_t_100,751,96,
https://www.imdb.com/title/tt1049413/?ref_=chttp_t_101,785,88,2
https://www.imdb.com/title/tt0211915/?ref_=chttp_t_102,817,70,
https://www.imdb.com/title/tt0057012/?ref_=chttp_t_103,1010,97,
https://www.imdb.com/title/tt0056172/?ref_=chttp_t_104,1161,100,7
https://www.imdb.com/title/tt0119698/?ref_=chttp_t_105,1307,76,
https://www.imdb.com/title/tt0086190/?ref_=chttp_t_106,1326,58,
https://www.imdb.com/title/tt0435761/?ref_=chttp_t_107,1365,92,2
https://www.imdb.com/title/tt0053125/?ref_=chttp_t_108,1451,98,
https://www.imdb.com/title/tt0017136/?ref_=chttp_t_109,1518,98,
https://www.imdb.com/title/tt0056592/?ref_=chttp_t_110,1707,88,3
https://www.imdb.com/title/tt0052357/?ref_=chttp_t_111,1820,100,
https://www.imdb.com/title/tt0033467/?ref_=chttp_t_112,2020,100,1
https://www.imdb.com/title/tt0070735/?ref_=chttp_t_113,2263,83,7
https://www.imdb.com/title/tt0045152/?ref_=chttp_t_114,2511,99,
https://www.imdb.com/title/tt0053604/?ref_=chttp_t_115,2658,94,5
https://www.imdb.com/title/tt0036775/?ref_=chttp_t_116,2917,95,
https://www.imdb.com/title/tt1832382/?ref_=chttp_t_117,3047,95,1
https://www.imdb.com/title/tt5074352/?ref_=chttp_t_118,3169,,
https://www.imdb.com/title/tt0022100/?ref_=chttp_t_119,3184,,
https://www.imdb.com/title/tt0044741/?ref_=chttp_t_120,3360,92,
https://www.imdb.com/title/tt0055031/?ref_=chttp_t_121,4963,60,2
https://www.imdb.com/title/tt0040522/?ref_=chttp_t_122,,,
https://www.imdb.com/title/tt0986264/?ref_=chttp_t_123,,,
https://www.imdb.com/title/tt0993846/?ref_=chttp_t_124,111,75,
https://www.imdb.com/title/tt1745960/?ref_=chttp_t_125,199,78,1
https://www.imdb.com/title/tt0107290/?ref_=chttp_t_126,230,68,3
https://www.imdb.com/title/tt10872600/?ref_=chttp_t_127,245,71,
https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128,261,70,
https://www.imdb.com/title/tt0105695/?ref_=chttp_t_129,263,85,4
https://www.imdb.com/title/tt0477348/?ref_=chttp_t_130,265,92,4
https://www.imdb.com/title/tt0084787/?ref_=chttp_t_131,281,57,
https://www.imdb.com/title/tt1392214/?ref_=chttp_t_132,282,70,
https://www.imdb.com/title/tt1130884/?ref_=chttp_t_133,289,63,
https://www.imdb.com/title/tt0095016/?ref_=chttp_t_134,320,72,
https://www.imdb.com/title/tt0093058/?ref_=chttp_t_135,358,78,
https://www.imdb.com/title/tt8579674/?ref_=chttp_t_136,398,78,3
https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137,401,90,
https://www.imdb.com/title/tt0075314/?ref_=chttp_t_138,402,94,
https://www.imdb.com/title/tt0167404/?ref_=chttp_t_139,419,64,
https://www.imdb.com/title/tt6966692/?ref_=chttp_t_140,437,69,3
https://www.imdb.com/title/tt0066921/?ref_=chttp_t_141,532,77,
https://www.imdb.com/title/tt0208092/?ref_=chttp_t_142,568,55,
https://www.imdb.com/title/tt0469494/?ref_=chttp_t_143,586,93,2
https://www.imdb.com/title/tt0266697/?ref_=chttp_t_144,611,69,
https://www.imdb.com/title/tt0457430/?ref_=chttp_t_145,632,98,3
https://www.imdb.com/title/tt0112641/?ref_=chttp_t_146,673,73,
https://www.imdb.com/title/tt0268978/?ref_=chttp_t_147,685,72,4
https://www.imdb.com/title/tt0347149/?ref_=chttp_t_148,774,82,
https://www.imdb.com/title/tt0057115/?ref_=chttp_t_149,801,86,
https://www.imdb.com/title/tt0266543/?ref_=chttp_t_150,805,90,1
https://www.imdb.com/title/tt4729430/?ref_=chttp_t_151,827,65,
https://www.imdb.com/title/tt0119488/?ref_=chttp_t_152,1050,91,2
https://www.imdb.com/title/tt0097576/?ref_=chttp_t_153,1085,65,1
https://www.imdb.com/title/tt0363163/?ref_=chttp_t_154,1132,82,
https://www.imdb.com/title/tt0031381/?ref_=chttp_t_155,1343,97,8
https://www.imdb.com/title/tt1305806/?ref_=chttp_t_156,1498,80,1
https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157,1515,91,
https://www.imdb.com/title/tt10272386/?ref_=chttp_t_158,1528,88,2
https://www.imdb.com/title/tt0053291/?ref_=chttp_t_159,1750,98,1
https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,2200,78,
https://www.imdb.com/title/tt0059578/?ref_=chttp_t_161,2404,74,
https://www.imdb.com/title/tt0042192/?ref_=chttp_t_162,2478,98,6
https://www.imdb.com/title/tt0089881/?ref_=chttp_t_163,3044,97,1
https://www.imdb.com/title/tt0046912/?ref_=chttp_t_164,4002,75,
https://www.imdb.com/title/tt0042876/?ref_=chttp_t_165,4483,98,
https://www.imdb.com/title/tt0055630/?ref_=chttp_t_166,,93,
https://www.imdb.com/title/tt0040897/?ref_=chttp_t_167,,98,3
https://www.imdb.com/title/tt0118849/?ref_=chttp_t_168,,77,
https://www.imdb.com/title/tt0049902/?ref_=chttp_t_169,,,
https://www.imdb.com/title/tt0012349/?ref_=chttp_t_170,,,
https://www.imdb.com/title/tt0476735/?ref_=chttp_t_171,,,
https://www.imdb.com/title/tt0015324/?ref_=chttp_t_172,,,
https://www.imdb.com/title/tt0032138/?ref_=chttp_t_173,223,92,2
https://www.imdb.com/title/tt0325980/?ref_=chttp_t_174,276,63,
https://www.imdb.com/title/tt0097165/?ref_=chttp_t_175,297,79,1
https://www.imdb.com/title/tt0091763/?ref_=chttp_t_176,300,92,4
https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177,311,90,6
https://www.imdb.com/title/tt0434409/?ref_=chttp_t_178,313,62,
https://www.imdb.com/title/tt3315342/?ref_=chttp_t_179,324,77,
https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180,352,85,
https://www.imdb.com/title/tt0264464/?ref_=chttp_t_181,359,75,
https://www.imdb.com/title/tt2096673/?ref_=chttp_t_182,364,94,1
https://www.imdb.com/title/tt2267998/?ref_=chttp_t_183,378,79,
https://www.imdb.com/title/tt0088247/?ref_=chttp_t_184,391,84,
https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185,409,84,
https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186,442,88,4
https://www.imdb.com/title/tt4016934/?ref_=chttp_t_187,446,85,1
https://www.imdb.com/title/tt0382932/?ref_=chttp_t_188,460,96,1
https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189,484,71,2
https://www.imdb.com/title/tt0092005/?ref_=chttp_t_190,501,75,
https://www.imdb.com/title/tt1454029/?ref_=chttp_t_191,508,62,1
https://www.imdb.com/title/tt0118715/?ref_=chttp_t_192,530,71,
https://www.imdb.com/title/tt0073195/?ref_=chttp_t_193,553,87,3
https://www.imdb.com/title/tt0070047/?ref_=chttp_t_194,643,83,2
https://www.imdb.com/title/tt0117951/?ref_=chttp_t_195,718,83,
https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196,725,75,
https://www.imdb.com/title/tt1950186/?ref_=chttp_t_197,763,81,2
https://www.imdb.com/title/tt0353969/?ref_=chttp_t_198,767,82,
https://www.imdb.com/title/tt0116282/?ref_=chttp_t_199,784,88,2
https://www.imdb.com/title/tt0059742/?ref_=chttp_t_200,794,63,5
https://www.imdb.com/title/tt0077416/?ref_=chttp_t_201,873,90,5
https://www.imdb.com/title/tt0075148/?ref_=chttp_t_202,882,70,3
https://www.imdb.com/title/tt1291584/?ref_=chttp_t_203,887,71,
https://www.imdb.com/title/tt0758758/?ref_=chttp_t_204,929,73,
https://www.imdb.com/title/tt0198781/?ref_=chttp_t_205,1011,79,1
https://www.imdb.com/title/tt2024544/?ref_=chttp_t_206,1016,96,3
https://www.imdb.com/title/tt0405159/?ref_=chttp_t_207,1028,86,4
https://www.imdb.com/title/tt0087884/?ref_=chttp_t_208,1044,81,1
https://www.imdb.com/title/tt5027774/?ref_=chttp_t_209,1052,88,2
https://www.imdb.com/title/tt1895587/?ref_=chttp_t_210,1167,93,2
https://www.imdb.com/title/tt1979320/?ref_=chttp_t_211,1253,74,1
https://www.imdb.com/title/tt0112471/?ref_=chttp_t_212,1274,78,
https://www.imdb.com/title/tt0036868/?ref_=chttp_t_213,1304,93,7
https://www.imdb.com/title/tt0120735/?ref_=chttp_t_214,1411,67,1
https://www.imdb.com/title/tt0071315/?ref_=chttp_t_215,1427,92,1
https://www.imdb.com/title/tt3170832/?ref_=chttp_t_216,1676,86,1
https://www.imdb.com/title/tt0072684/?ref_=chttp_t_217,1706,89,4
https://www.imdb.com/title/tt1205489/?ref_=chttp_t_218,1763,73,
https://www.imdb.com/title/tt3011894/?ref_=chttp_t_219,1771,77,
https://www.imdb.com/title/tt0096283/?ref_=chttp_t_220,1870,87,
https://www.imdb.com/title/tt5323662/?ref_=chttp_t_221,1898,78,
https://www.imdb.com/title/tt0081398/?ref_=chttp_t_222,2029,90,2
https://www.imdb.com/title/tt0113247/?ref_=chttp_t_223,2086,,
https://www.imdb.com/title/tt0129167/?ref_=chttp_t_224,2148,85,1
https://www.imdb.com/title/tt1028532/?ref_=chttp_t_225,2235,,
https://www.imdb.com/title/tt0050212/?ref_=chttp_t_226,2287,88,7
https://www.imdb.com/title/tt0052618/?ref_=chttp_t_227,2354,90,11
https://www.imdb.com/title/tt0041959/?ref_=chttp_t_228,2366,97,1
https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229,2517,83,4
https://www.imdb.com/title/tt0978762/?ref_=chttp_t_230,2625,72,
https://www.imdb.com/title/tt0381681/?ref_=chttp_t_231,2681,91,
https://www.imdb.com/title/tt0032976/?ref_=chttp_t_232,2738,86,2
https://www.imdb.com/title/tt0050976/?ref_=chttp_t_233,2804,88,
https://www.imdb.com/title/tt0107207/?ref_=chttp_t_234,2806,84,
https://www.imdb.com/title/tt0047296/?ref_=chttp_t_235,3204,91,8
https://www.imdb.com/title/tt0395169/?ref_=chttp_t_236,3983,79,
https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237,,96,2
https://www.imdb.com/title/tt0046268/?ref_=chttp_t_238,,85,1
https://www.imdb.com/title/tt0058946/?ref_=chttp_t_239,,96,
https://www.imdb.com/title/tt0050986/?ref_=chttp_t_240,,88,
https://www.imdb.com/title/tt0046438/?ref_=chttp_t_241,,100,
https://www.imdb.com/title/tt0031679/?ref_=chttp_t_242,,73,1
https://www.imdb.com/title/tt0019254/?ref_=chttp_t_243,,98,
https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244,,86,
https://www.imdb.com/title/tt0015864/?ref_=chttp_t_245,,,
https://www.imdb.com/title/tt0017925/?ref_=chttp_t_246,,,
https://www.imdb.com/title/tt0317705/?ref_=chttp_t_247,580,90,2
https://www.imdb.com/title/tt0107048/?ref_=chttp_t_248,1293,72,1
https://www.imdb.com/title/tt0061512/?ref_=chttp_t_249,2748,92,1
https://www.imdb.com/title/tt0245712/?ref_=chttp_t_250,3119,83,
