url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt0120815/?ref_=chttp_t_23,181,91,Won 5 Oscars
https://www.imdb.com/title/tt0120689/?ref_=chttp_t_24,188,61,Nominated for 4 Oscars
https://www.imdb.com/title/tt0102926/?ref_=chttp_t_25,191,86,Won 5 Oscars
https://www.imdb.com/title/tt9362722/?ref_=chttp_t_26,239,86,Nominated for 1 Oscar
https://www.imdb.com/title/tt0317248/?ref_=chttp_t_27,294,79,Nominated for 4 Oscars
https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28,316,75,Won 4 Oscars
https://www.imdb.com/title/tt0245429/?ref_=chttp_t_29,388,96,Won 1 Oscar
https://www.imdb.com/title/tt0038650/?ref_=chttp_t_30,426,89,Nominated for 5 Oscars
https://www.imdb.com/title/tt0076759/?ref_=chttp_t_31,430,90,Won 6 Oscars
https://www.imdb.com/title/tt0118799/?ref_=chttp_t_32,736,58,Won 3 Oscars
https://www.imdb.com/title/tt0047478/?ref_=chttp_t_33,"1,239",98,Nominated for 2 Oscars
https://www.imdb.com/title/tt0056058/?ref_=chttp_t_34,"1,687",85,Awards
https://www.imdb.com/title/tt0172495/?ref_=chttp_t_35,8,67,Won 5 Oscars
https://www.imdb.com/title/tt15239678/?ref_=chttp_t_36,58,79,Awards
https://www.imdb.com/title/tt0407887/?ref_=chttp_t_37,186,85,Won 4 Oscars
https://www.imdb.com/title/tt1853728/?ref_=chttp_t_38,189,81,Won 2 Oscars
https://www.imdb.com/title/tt6751668/?ref_=chttp_t_39,195,97,Won 4 Oscars
https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40,202,64,Awards
https://www.imdb.com/title/tt0078748/?ref_=chttp_t_41,207,89,Won 1 Oscar
https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,222,89,Won 3 Oscars
https://www.imdb.com/title/tt0088763/?ref_=chttp_t_43,238,87,Won 1 Oscar
https://www.imdb.com/title/tt0482571/?ref_=chttp_t_44,250,66,Nominated for 2 Oscars
https://www.imdb.com/title/tt0110357/?ref_=chttp_t_45,312,88,Won 2 Oscars
https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,418,76,Won 2 Oscars
https://www.imdb.com/title/tt0120586/?ref_=chttp_t_47,449,62,Nominated for 1 Oscar
https://www.imdb.com/title/tt0253474/?ref_=chttp_t_48,626,85,Won 3 Oscars
https://www.imdb.com/title/tt0054215/?ref_=chttp_t_49,639,97,Nominated for 4 Oscars
https://www.imdb.com/title/tt0095327/?ref_=chttp_t_50,710,94,Awards
https://www.imdb.com/title/tt1675434/?ref_=chttp_t_51,723,57,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt0034583/?ref_=chttp_t_52,739,100,Won 3 Oscars
https://www.imdb.com/title/tt26548265/?ref_=chttp_t_53,826,N/A,Awards
https://www.imdb.com/title/tt0064116/?ref_=chttp_t_54,876,82,Awards
https://www.imdb.com/title/tt0047396/?ref_=chttp_t_55,"1,040",100,Nominated for 4 Oscars
https://www.imdb.com/title/tt0095765/?ref_=chttp_t_56,"1,576",80,Won 1 Oscar
https://www.imdb.com/title/tt0021749/?ref_=chttp_t_57,N/A,99,Awards
https://www.imdb.com/title/tt0027977/?ref_=chttp_t_58,N/A,96,Awards
https://www.imdb.com/title/tt0361748/?ref_=chttp_t_59,116,69,Won 1 Oscar
https://www.imdb.com/title/tt7286456/?ref_=chttp_t_60,157,59,Won 2 Oscars
https://www.imdb.com/title/tt1345836/?ref_=chttp_t_61,178,78,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt4154796/?ref_=chttp_t_62,243,78,Nominated for 1 Oscar
https://www.imdb.com/title/tt0081505/?ref_=chttp_t_63,275,68,Awards
https://www.imdb.com/title/tt0078788/?ref_=chttp_t_64,369,94,Won 2 Oscars
https://www.imdb.com/title/tt0090605/?ref_=chttp_t_65,414,84,Won 2 Oscars
https://www.imdb.com/title/tt0209144/?ref_=chttp_t_66,425,83,Nominated for 2 Oscars
https://www.imdb.com/title/tt2380307/?ref_=chttp_t_67,439,81,Won 2 Oscars
https://www.imdb.com/title/tt4154756/?ref_=chttp_t_68,457,68,Nominated for 1 Oscar
https://www.imdb.com/title/tt0082971/?ref_=chttp_t_69,542,86,Won 4 Oscars
https://www.imdb.com/title/tt0043014/?ref_=chttp_t_70,558,94,Won 3 Oscars
https://www.imdb.com/title/tt5311514/?ref_=chttp_t_71,587,81,Awards
https://www.imdb.com/title/tt4633694/?ref_=chttp_t_72,641,87,Won 1 Oscar
https://www.imdb.com/title/tt0405094/?ref_=chttp_t_73,688,89,Won 1 Oscar
